product_id,product_code,barcode,source_barcode_id,note,relationship,documented_primary,barcode_count_for_product
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901719,174424,,alias_among_equals,,9
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901726,174426,,alias_among_equals,,9
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901740,174419,,alias_among_equals,,9
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901757,174425,,alias_among_equals,,9
9c0726d2-5683-40c8-897c-6d4e8eb8e8bf,6192489901740CB,6192489901894,174431,,alias_among_equals,,9
9fc8f297-26d8-4583-9990-72ebc193c62e,6195100311164CB,6195100311164,168974,,sole_known_code,,1
c4bf88c0-224d-4ec4-bdc2-7954041c5a0d,6194019605326CB,6194019605326,130873,,sole_known_code,,1
307b00fd-1d09-4db5-b00f-7ae33d278863,6194008555656CB,6194008555656,81835,,sole_known_code,,1
8fb7916c-f92b-4ea9-a42c-7e5ee30c05d2,089686122046CB,089686122015,12245,,alias_among_equals,,4
8fb7916c-f92b-4ea9-a42c-7e5ee30c05d2,089686122046CB,089686122046,12244,,alias_among_equals,,4
8fb7916c-f92b-4ea9-a42c-7e5ee30c05d2,089686122046CB,089686122138,12247,,alias_among_equals,,4
8fb7916c-f92b-4ea9-a42c-7e5ee30c05d2,089686122046CB,089686122169,12246,,alias_among_equals,,4
b188d9e5-8b73-4243-86be-7fe78eda4992,6191513501512CB,6191513501512,175693,,alias_among_equals,,2
b188d9e5-8b73-4243-86be-7fe78eda4992,6191513501512CB,6191513504643,175694,,alias_among_equals,,2
0cadc996-0a28-4cc1-ab43-82acd692f7cc,6191402903304CB,6191402903304,169482,,sole_known_code,,1
4fac144d-b3c1-4d52-97d5-86d5f63ade51,6194000502153CB,6194000502153,168910,,sole_known_code,,1
7af41bd0-5e53-4208-9987-876c0fde6e31,6191570400261CB,6191570400216,174370,,alias_among_equals,,2
7af41bd0-5e53-4208-9987-876c0fde6e31,6191570400261CB,6191570400261,175068,,alias_among_equals,,2
99c8a8c0-e20f-46d1-9389-883152b5a37a,MLBIC,3086123341852,1998,,alias_among_equals,,2
99c8a8c0-e20f-46d1-9389-883152b5a37a,MLBIC,3086126788388,3991,,alias_among_equals,,2
df49ae4c-9e8d-4bdc-9906-8935b0af5998,6191513503066CB,6191513503066,47635,,alias_among_equals,,2
df49ae4c-9e8d-4bdc-9906-8935b0af5998,6191513503066CB,6191513504582,165575,,alias_among_equals,,2
4a07ff21-9ea9-4f4f-a386-8d3c872f4f3b,5449000133328CB,5449000133328,146490,,sole_known_code,,1
aa0571b3-ec42-479d-944b-9549c8cc3278,8690506011840CB,8690506011840,11951,,sole_known_code,,1
37637e60-1aff-49e4-be9b-9fc91e4e4742,6192002020422CB,6192002020422,159763,,sole_known_code,,1
03eba501-0bf9-480c-a3b6-a3a3eb1bc78b,6191523800124CB,6191523800124,6903,,sole_known_code,,1
3d0a27e5-0f6c-4095-ab46-a7e0dfd3def1,6281006612907CB,6281006612907,174003,,alias_among_equals,,3
3d0a27e5-0f6c-4095-ab46-a7e0dfd3def1,6281006612907CB,6281006612921,174004,MOISTURE BOMB,alias_among_equals,,3
3d0a27e5-0f6c-4095-ab46-a7e0dfd3def1,6281006612907CB,6281006612938,174005,OUT WITH DAMAGE,alias_among_equals,,3
fb476650-a888-4556-8872-ab68b1e61c62,FNS5L,6192026301606,115650,,sole_known_code,,1
00e000f3-0621-469c-bde0-addf3c6f3676,6192466700823CB,6192466700823,167812,,sole_known_code,,1
af7fdb56-23e4-43e1-b459-b21421085eaa,6191534802094CB,6191534802094,175410,,sole_known_code,,1
30ed373f-124f-4492-8699-b8a00c053e3e,6194019604244CB,6194019604244,146508,,sole_known_code,,1
bf60ebd8-3283-4217-9af6-ba29c814bc88,3574661104041CB,3574661104041,170727,,sole_known_code,,1
e486e15b-9e7c-4f22-83e8-bb0c99367784,6191523800230CB,6191523800230,175541,,sole_known_code,,1
c49df50e-1745-4ede-b4d6-c48852905fbb,6210242423169CB,6210242423169,143007,,sole_known_code,,1
b516f359-d925-4a49-b932-c4bac4270258,6192409005503CB,6192409005503,174180,,sole_known_code,,1
